date,selected_etf_count,selected_total_trading_value,kospi_trading_value,ratio
20110523,40,260033813355.0,6350014042966.0,0.04095011626675741
20110524,40,249469373155.0,6095591819889.0,0.04092619396545204
20110525,40,271965662135.0,6924688838104.0,0.03927478454172173
20110526,40,221741038460.0,7279454304393.0,0.03046121717203223
20110527,40,257698948625.0,7237258525670.0,0.035607260361221256
20110530,40,205782786285.0,5747086204651.0,0.035806455472768825
20110531,40,267110083985.0,9496715895846.0,0.02812657416674303
20110601,40,229503356635.0,8124099930457.0,0.028249696409395335
20110602,40,270936570928.0,7307482014248.0,0.03707659771173335
20110603,40,203711846300.0,6858156865704.0,0.02970358513068054
20110607,40,152066015840.0,6213589397260.0,0.024473135593262148
20110608,40,269457878775.0,6665898192628.0,0.040423341459520166
20110609,40,230015180985.0,7393645567249.0,0.031109846812765626
20110610,40,277555648710.0,7181166205563.0,0.038650497811203326
20110613,40,253260592340.0,5608763807365.0,0.04515444062868854
20110614,40,299117258940.0,6201674191494.0,0.04823169513649375
20110615,40,236732188410.0,6080611629799.0,0.038932298726308455
20110616,40,320922798705.0,5887030474545.0,0.05451352767624388
20110617,40,368711120120.0,8101624085374.0,0.04551076626545046
20110620,40,364353539645.0,6377177851854.0,0.057133978087042625
20110621,41,364859862380.0,6813489766279.0,0.05354963093740114
20110622,41,261797639700.0,6353156646387.0,0.04120749011420687
20110623,41,241374239950.0,5407198331785.0,0.044639427877304926
20110624,41,300507130339.0,8104801122631.0,0.037077668630251186
20110627,41,336734349629.0,4958946636132.0,0.06790441082295136
20110628,41,282977778630.0,5870037068596.0,0.04820715360451426
20110629,41,287817364295.0,5915863624618.0,0.04865179161623845
20110630,41,279891235030.0,6428419014153.0,0.04353966883829182
20110701,41,239985512895.0,6811813231432.0,0.03523078286815411
20110704,41,231190414591.0,6760170053036.0,0.03419890517209284
20110705,41,283688116257.0,6460079083868.0,0.043914031480732356
20110706,41,174975230210.0,7277886440017.0,0.024042039079905084
20110707,41,275765099315.0,8239764632058.0,0.033467594237109134
20110708,41,248175317730.0,9318017159144.0,0.0266339193726918
20110711,41,301060263975.0,5615932684386.0,0.053608239431366236
20110712,41,391759108685.0,6246442849069.0,0.0627171524899791
20110713,41,375107224260.0,6569547446259.0,0.057097878861290995
20110714,41,448093574980.0,8198559373034.0,0.054655160082615374
20110715,41,323186474935.0,6111820412498.0,0.05287892201055503
20110718,43,348765028630.0,6095541735952.0,0.05721641221369309
20110719,43,275168521680.0,6156963766220.0,0.04469224314583496
20110720,43,279248439110.0,8387523514284.0,0.03329331221956497
20110721,43,294246878955.0,7342151626460.0,0.04007638277239861
20110722,43,311848253110.0,7351117741692.0,0.04242188250384658
20110725,43,256210639560.0,5931765000322.0,0.043192985485111406
20110726,43,223873666206.0,6704314342792.0,0.033392477553904225
20110727,43,211768728541.0,6319514517661.0,0.033510284365859885
20110728,43,278788825270.0,5882751122340.0,0.047390892368587116
20110729,43,330264450210.0,6020141404731.0,0.05485991574059336
20110801,43,416953125340.0,6427038552772.0,0.06487484428736885
20110802,43,581795338231.0,7695653310799.0,0.07560051300837449
20110803,43,699674208122.0,8044964001674.0,0.08697045853485627
20110804,43,658185328530.0,7657733958548.0,0.08595040413950343
20110805,43,776161060870.0,10397344165276.0,0.07464993449597873
20110808,43,1175774404660.0,10810134766739.0,0.10876593400830337
20110809,43,1777193524970.0,13504985141188.0,0.1315953706272397
20110810,43,1372602925670.0,11197248208414.0,0.12258395099597584
20110811,43,1322623021650.0,8888935987548.0,0.14879430153426537
20110812,43,979747848313.0,8993164927069.0,0.10894360953661657
20110816,43,798440934695.0,7092012523416.0,0.11258312532003484
20110817,43,728704767605.0,6368750951279.0,0.11441878842171688
20110818,43,935218427860.0,8460598629562.0,0.11053809178375074
20110819,43,1071839117865.0,9509813414455.0,0.11270874318478163
20110822,43,907082217990.0,7281790024174.0,0.12456857654212485
20110823,43,757745651690.0,8096575728393.0,0.09358841034892619
20110824,43,883927241530.0,7759920367039.0,0.11390931861679471
20110825,43,711205852075.0,6039178238511.0,0.11776533561134844
20110826,43,563750393873.0,4950928450980.0,0.11386761078347027
20110829,43,711162587770.0,6499781569306.0,0.10941330569143
20110830,43,614986335765.0,6518538369478.0,0.09434420738314189
20110831,43,524416672705.0,6548722882127.0,0.0800792279875296
20110901,43,895340504225.0,8722077469917.0,0.10265220726519414
20110902,43,781395426543.0,5529121334832.0,0.14132361712166014
20110905,43,719064599199.0,5902507115616.0,0.12182358870802593
20110906,43,992264796485.0,6592714635008.0,0.15050928963555782
20110907,43,819576512485.0,6157973882347.0,0.1330919110966793
20110908,44,781134823290.0,7019833772505.0,0.11127540175516935
20110909,44,715560337270.0,5523272680646.0,0.12955368649050808
20110914,44,907425558270.0,5872974377240.0,0.15450868673744222
20110915,44,1072639687185.0,6322419245898.0,0.16965652631798042
20110916,44,1013420400805.0,7639828910157.0,0.13264961987010962
20110919,44,841488972175.0,4986032137521.0,0.16876926360795158
20110920,44,1149787466450.0,5538383501382.0,0.20760343991402763
20110921,44,897942366670.0,5971825693521.0,0.15036312390098772
20110922,44,1052245464825.0,5783801743831.0,0.1819297257115226
20110923,45,1706655201730.0,7565050818838.0,0.22559732149851494
20110926,45,1499909174245.0,7371959260090.0,0.2034614030445264
20110927,45,1002987423150.0,6226370633927.0,0.16108700912933147
20110928,45,1037036692308.0,6360415932878.0,0.1630454208108298
20110929,45,1207410855240.0,6682576302785.0,0.1806804442677003
20110930,45,1160579652385.0,6551421029062.0,0.17714930047033872
20111004,45,1200993843200.0,6753150063977.0,0.1778420191795238
20111005,45,1181951124539.0,7676992618202.0,0.15396017468306755
20111006,45,1053037938838.0,7868460787752.0,0.133830232779091
20111007,45,1023074806325.0,7563470779830.0,0.13526525534458336
20111010,45,836288230995.0,5033065604134.0,0.1661588178600532
20111011,45,783658630800.0,7153221985161.0,0.10955323802695631
20111012,45,756615688440.0,5831021927803.0,0.12975696161120012
20111013,45,677794551260.0,6649712486716.0,0.10192839955321631
20111014,45,790377214250.0,5079714709448.0,0.15559480393257918
20111017,45,614227865220.0,5922686452442.0,0.10370764519650469
